order_id,date,region,product_category,product_name,sales_rep,quantity,unit_price,revenue,discount_pct,cogs,customer_segment
ORD001,2024-01-03,North,Software,CRM Pro,Rahul Sharma,5,12000,60000,5,36000,Enterprise
ORD002,2024-01-05,South,Hardware,Laptop Elite,Priya Nair,3,55000,165000,0,99000,SMB
ORD003,2024-01-08,West,Services,IT Support Annual,Amit Patel,1,80000,80000,10,32000,Enterprise
ORD004,2024-01-10,East,Software,Analytics Suite,Sneha Roy,2,25000,50000,0,20000,Mid-Market
ORD005,2024-01-12,North,Hardware,Server Pro,Rahul Sharma,1,120000,120000,5,72000,Enterprise
ORD006,2024-01-15,South,Software,CRM Pro,Vikram Singh,4,12000,48000,0,28800,SMB
ORD007,2024-01-18,West,Services,Cloud Migration,Pooja Mehta,1,150000,150000,10,60000,Enterprise
ORD008,2024-01-20,East,Hardware,Laptop Elite,Arjun Das,6,55000,330000,5,198000,Mid-Market
ORD009,2024-01-22,North,Software,Analytics Suite,Rahul Sharma,3,25000,75000,0,30000,SMB
ORD010,2024-01-25,South,Services,IT Support Annual,Priya Nair,2,80000,160000,5,64000,Enterprise
ORD011,2024-02-02,West,Software,CRM Pro,Amit Patel,7,12000,84000,10,50400,SMB
ORD012,2024-02-05,East,Hardware,Server Pro,Sneha Roy,1,120000,120000,0,72000,Enterprise
ORD013,2024-02-08,North,Services,Cloud Migration,Rahul Sharma,1,150000,150000,5,60000,Enterprise
ORD014,2024-02-10,South,Software,Analytics Suite,Vikram Singh,5,25000,125000,0,50000,Mid-Market
ORD015,2024-02-14,West,Hardware,Laptop Elite,Pooja Mehta,4,55000,220000,10,132000,SMB
ORD016,2024-02-18,East,Software,CRM Pro,Arjun Das,3,12000,36000,0,21600,SMB
ORD017,2024-02-20,North,Services,IT Support Annual,Rahul Sharma,3,80000,240000,5,96000,Enterprise
ORD018,2024-02-22,South,Hardware,Server Pro,Priya Nair,2,120000,240000,10,144000,Enterprise
ORD019,2024-02-25,West,Software,Analytics Suite,Amit Patel,4,25000,100000,0,40000,Mid-Market
ORD020,2024-02-28,East,Services,Cloud Migration,Sneha Roy,1,150000,150000,5,60000,Enterprise
ORD021,2024-03-03,North,Software,CRM Pro,Rahul Sharma,6,12000,72000,0,43200,SMB
ORD022,2024-03-06,South,Hardware,Laptop Elite,Vikram Singh,5,55000,275000,5,165000,Mid-Market
ORD023,2024-03-10,West,Services,IT Support Annual,Pooja Mehta,2,80000,160000,0,64000,Enterprise
ORD024,2024-03-12,East,Software,Analytics Suite,Arjun Das,3,25000,75000,10,30000,SMB
ORD025,2024-03-15,North,Hardware,Server Pro,Rahul Sharma,2,120000,240000,5,144000,Enterprise
ORD026,2024-03-18,South,Software,CRM Pro,Priya Nair,8,12000,96000,0,57600,SMB
ORD027,2024-03-20,West,Services,Cloud Migration,Amit Patel,1,150000,150000,10,60000,Enterprise
ORD028,2024-03-22,East,Hardware,Laptop Elite,Sneha Roy,7,55000,385000,5,231000,Mid-Market
ORD029,2024-03-25,North,Software,Analytics Suite,Rahul Sharma,4,25000,100000,0,40000,Mid-Market
ORD030,2024-03-28,South,Services,IT Support Annual,Vikram Singh,1,80000,80000,5,32000,SMB
ORD031,2024-04-02,West,Software,CRM Pro,Pooja Mehta,5,12000,60000,0,36000,SMB
ORD032,2024-04-05,East,Hardware,Server Pro,Arjun Das,1,120000,120000,10,72000,Enterprise
ORD033,2024-04-08,North,Services,Cloud Migration,Rahul Sharma,2,150000,300000,5,120000,Enterprise
ORD034,2024-04-10,South,Software,Analytics Suite,Priya Nair,6,25000,150000,0,60000,Mid-Market
ORD035,2024-04-14,West,Hardware,Laptop Elite,Amit Patel,3,55000,165000,5,99000,SMB
ORD036,2024-04-18,East,Software,CRM Pro,Sneha Roy,4,12000,48000,10,28800,SMB
ORD037,2024-04-20,North,Services,IT Support Annual,Rahul Sharma,2,80000,160000,0,64000,Enterprise
ORD038,2024-04-22,South,Hardware,Server Pro,Vikram Singh,1,120000,120000,5,72000,Enterprise
ORD039,2024-04-25,West,Software,Analytics Suite,Pooja Mehta,5,25000,125000,0,50000,Mid-Market
ORD040,2024-04-28,East,Services,Cloud Migration,Arjun Das,1,150000,150000,10,60000,Enterprise
ORD041,2024-05-03,North,Software,CRM Pro,Rahul Sharma,9,12000,108000,5,64800,SMB
ORD042,2024-05-06,South,Hardware,Laptop Elite,Priya Nair,6,55000,330000,0,198000,Mid-Market
ORD043,2024-05-10,West,Services,IT Support Annual,Amit Patel,3,80000,240000,5,96000,Enterprise
ORD044,2024-05-12,East,Software,Analytics Suite,Sneha Roy,4,25000,100000,10,40000,SMB
ORD045,2024-05-15,North,Hardware,Server Pro,Rahul Sharma,2,120000,240000,0,144000,Enterprise
ORD046,2024-05-18,South,Software,CRM Pro,Vikram Singh,6,12000,72000,5,43200,SMB
ORD047,2024-05-20,West,Services,Cloud Migration,Pooja Mehta,1,150000,150000,0,60000,Enterprise
ORD048,2024-05-22,East,Hardware,Laptop Elite,Arjun Das,4,55000,220000,5,132000,Mid-Market
ORD049,2024-05-25,North,Software,Analytics Suite,Rahul Sharma,5,25000,125000,0,50000,Mid-Market
ORD050,2024-05-28,South,Services,IT Support Annual,Priya Nair,2,80000,160000,10,64000,Enterprise
ORD051,2024-06-03,West,Software,CRM Pro,Amit Patel,7,12000,84000,0,50400,SMB
ORD052,2024-06-06,East,Hardware,Server Pro,Sneha Roy,2,120000,240000,5,144000,Enterprise
ORD053,2024-06-10,North,Services,Cloud Migration,Rahul Sharma,1,150000,150000,10,60000,Enterprise
ORD054,2024-06-12,South,Software,Analytics Suite,Vikram Singh,7,25000,175000,0,70000,Mid-Market
ORD055,2024-06-15,West,Hardware,Laptop Elite,Pooja Mehta,5,55000,275000,5,165000,SMB
ORD056,2024-06-18,East,Software,CRM Pro,Arjun Das,3,12000,36000,0,21600,SMB
ORD057,2024-06-20,North,Services,IT Support Annual,Rahul Sharma,4,80000,320000,5,128000,Enterprise
ORD058,2024-06-22,South,Hardware,Server Pro,Priya Nair,1,120000,120000,10,72000,Enterprise
ORD059,2024-06-25,West,Software,Analytics Suite,Amit Patel,6,25000,150000,0,60000,Mid-Market
ORD060,2024-06-28,East,Services,Cloud Migration,Sneha Roy,1,150000,150000,5,60000,Enterprise
ORD061,2024-07-03,North,Software,CRM Pro,Rahul Sharma,8,12000,96000,0,57600,SMB
ORD062,2024-07-06,South,Hardware,Laptop Elite,Vikram Singh,7,55000,385000,5,231000,Mid-Market
ORD063,2024-07-10,West,Services,IT Support Annual,Pooja Mehta,3,80000,240000,0,96000,Enterprise
ORD064,2024-07-12,East,Software,Analytics Suite,Arjun Das,5,25000,125000,10,50000,SMB
ORD065,2024-07-15,North,Hardware,Server Pro,Rahul Sharma,3,120000,360000,5,216000,Enterprise
ORD066,2024-07-18,South,Software,CRM Pro,Priya Nair,10,12000,120000,0,72000,SMB
ORD067,2024-07-20,West,Services,Cloud Migration,Amit Patel,2,150000,300000,10,120000,Enterprise
ORD068,2024-07-22,East,Hardware,Laptop Elite,Sneha Roy,6,55000,330000,5,198000,Mid-Market
ORD069,2024-07-25,North,Software,Analytics Suite,Rahul Sharma,6,25000,150000,0,60000,Mid-Market
ORD070,2024-07-28,South,Services,IT Support Annual,Vikram Singh,3,80000,240000,5,96000,Enterprise
ORD071,2024-08-03,West,Software,CRM Pro,Pooja Mehta,6,12000,72000,0,43200,SMB
ORD072,2024-08-06,East,Hardware,Server Pro,Arjun Das,2,120000,240000,10,144000,Enterprise
ORD073,2024-08-10,North,Services,Cloud Migration,Rahul Sharma,1,150000,150000,5,60000,Enterprise
ORD074,2024-08-12,South,Software,Analytics Suite,Priya Nair,8,25000,200000,0,80000,Mid-Market
ORD075,2024-08-15,West,Hardware,Laptop Elite,Amit Patel,4,55000,220000,5,132000,SMB
ORD076,2024-08-18,East,Software,CRM Pro,Sneha Roy,5,12000,60000,10,36000,SMB
ORD077,2024-08-20,North,Services,IT Support Annual,Rahul Sharma,5,80000,400000,0,160000,Enterprise
ORD078,2024-08-22,South,Hardware,Server Pro,Vikram Singh,2,120000,240000,5,144000,Enterprise
ORD079,2024-08-25,West,Software,Analytics Suite,Pooja Mehta,7,25000,175000,0,70000,Mid-Market
ORD080,2024-08-28,East,Services,Cloud Migration,Arjun Das,1,150000,150000,10,60000,Enterprise
ORD081,2024-09-03,North,Software,CRM Pro,Rahul Sharma,7,12000,84000,0,50400,SMB
ORD082,2024-09-06,South,Hardware,Laptop Elite,Priya Nair,8,55000,440000,5,264000,Mid-Market
ORD083,2024-09-10,West,Services,IT Support Annual,Amit Patel,4,80000,320000,5,128000,Enterprise
ORD084,2024-09-12,East,Software,Analytics Suite,Sneha Roy,6,25000,150000,10,60000,Mid-Market
ORD085,2024-09-15,North,Hardware,Server Pro,Rahul Sharma,2,120000,240000,0,144000,Enterprise
ORD086,2024-09-18,South,Software,CRM Pro,Vikram Singh,9,12000,108000,5,64800,SMB
ORD087,2024-09-20,West,Services,Cloud Migration,Pooja Mehta,1,150000,150000,0,60000,Enterprise
ORD088,2024-09-22,East,Hardware,Laptop Elite,Arjun Das,5,55000,275000,5,165000,SMB
ORD089,2024-09-25,North,Software,Analytics Suite,Rahul Sharma,8,25000,200000,0,80000,Mid-Market
ORD090,2024-09-28,South,Services,IT Support Annual,Priya Nair,3,80000,240000,10,96000,Enterprise
